,total_loads,total_stores,load_hits,load_misses,store_hits,store_misses,total_cycles,cache_size,associativity,block_size,alloc_type,write_type,evictor_type
write01.trace_256_4_16_no-write-allocate_write-back_fifo,0,5,0,0,0,5,2005,256,4,16,no-write-allocate,write-back,fifo
write01.trace_256_4_16_no-write-allocate_write-through_lru,0,5,0,0,0,5,2005,256,4,16,no-write-allocate,write-through,lru
write01.trace_256_4_16_no-write-allocate_write-through_fifo,0,5,0,0,0,5,2005,256,4,16,no-write-allocate,write-through,fifo
write01.trace_1024_1_16_write-allocate_write-back_lru,0,5,0,0,2,3,2410,1024,1,16,write-allocate,write-back,lru
write01.trace_1024_1_16_write-allocate_write-back_fifo,0,5,0,0,2,3,2410,1024,1,16,write-allocate,write-back,fifo
write01.trace_1024_1_16_write-allocate_write-through_lru,0,5,0,0,2,3,3208,1024,1,16,write-allocate,write-through,lru
write01.trace_1024_1_16_write-allocate_write-through_fifo,0,5,0,0,2,3,3208,1024,1,16,write-allocate,write-through,fifo
write01.trace_1024_1_16_no-write-allocate_write-back_lru,0,5,0,0,0,5,2005,1024,1,16,no-write-allocate,write-back,lru
write01.trace_1024_1_16_no-write-allocate_write-back_fifo,0,5,0,0,0,5,2005,1024,1,16,no-write-allocate,write-back,fifo
write01.trace_1024_1_16_no-write-allocate_write-through_lru,0,5,0,0,0,5,2005,1024,1,16,no-write-allocate,write-through,lru
write01.trace_1024_1_16_no-write-allocate_write-through_fifo,0,5,0,0,0,5,2005,1024,1,16,no-write-allocate,write-through,fifo
write01.trace_128_8_16_write-allocate_write-back_lru,0,5,0,0,2,3,2410,128,8,16,write-allocate,write-back,lru
write01.trace_128_8_16_write-allocate_write-back_fifo,0,5,0,0,2,3,2410,128,8,16,write-allocate,write-back,fifo
write01.trace_128_8_16_write-allocate_write-through_lru,0,5,0,0,2,3,3208,128,8,16,write-allocate,write-through,lru
write01.trace_128_8_16_write-allocate_write-through_fifo,0,5,0,0,2,3,3208,128,8,16,write-allocate,write-through,fifo
write01.trace_128_8_16_no-write-allocate_write-back_lru,0,5,0,0,0,5,2005,128,8,16,no-write-allocate,write-back,lru
write01.trace_128_8_16_no-write-allocate_write-back_fifo,0,5,0,0,0,5,2005,128,8,16,no-write-allocate,write-back,fifo
write01.trace_128_8_16_no-write-allocate_write-through_lru,0,5,0,0,0,5,2005,128,8,16,no-write-allocate,write-through,lru
write01.trace_128_8_16_no-write-allocate_write-through_fifo,0,5,0,0,0,5,2005,128,8,16,no-write-allocate,write-through,fifo
write02.trace_256_4_16_write-allocate_write-back_lru,0,10,0,0,9,1,820,256,4,16,write-allocate,write-back,lru
write02.trace_256_4_16_write-allocate_write-back_fifo,0,10,0,0,9,1,820,256,4,16,write-allocate,write-back,fifo
write02.trace_256_4_16_write-allocate_write-through_lru,0,10,0,0,9,1,4411,256,4,16,write-allocate,write-through,lru
write02.trace_256_4_16_write-allocate_write-through_fifo,0,10,0,0,9,1,4411,256,4,16,write-allocate,write-through,fifo
write02.trace_256_4_16_no-write-allocate_write-back_lru,0,10,0,0,0,10,4010,256,4,16,no-write-allocate,write-back,lru
write02.trace_256_4_16_no-write-allocate_write-back_fifo,0,10,0,0,0,10,4010,256,4,16,no-write-allocate,write-back,fifo
write02.trace_256_4_16_no-write-allocate_write-through_lru,0,10,0,0,0,10,4010,256,4,16,no-write-allocate,write-through,lru
write02.trace_256_4_16_no-write-allocate_write-through_fifo,0,10,0,0,0,10,4010,256,4,16,no-write-allocate,write-through,fifo
write02.trace_1024_1_16_write-allocate_write-back_lru,0,10,0,0,9,1,820,1024,1,16,write-allocate,write-back,lru
write02.trace_1024_1_16_write-allocate_write-back_fifo,0,10,0,0,9,1,820,1024,1,16,write-allocate,write-back,fifo
write02.trace_1024_1_16_write-allocate_write-through_lru,0,10,0,0,9,1,4411,1024,1,16,write-allocate,write-through,lru
write02.trace_1024_1_16_write-allocate_write-through_fifo,0,10,0,0,9,1,4411,1024,1,16,write-allocate,write-through,fifo
write02.trace_1024_1_16_no-write-allocate_write-back_lru,0,10,0,0,0,10,4010,1024,1,16,no-write-allocate,write-back,lru
write02.trace_1024_1_16_no-write-allocate_write-back_fifo,0,10,0,0,0,10,4010,1024,1,16,no-write-allocate,write-back,fifo
write02.trace_1024_1_16_no-write-allocate_write-through_lru,0,10,0,0,0,10,4010,1024,1,16,no-write-allocate,write-through,lru
write02.trace_1024_1_16_no-write-allocate_write-through_fifo,0,10,0,0,0,10,4010,1024,1,16,no-write-allocate,write-through,fifo
write02.trace_128_8_16_write-allocate_write-back_lru,0,10,0,0,9,1,820,128,8,16,write-allocate,write-back,lru
write02.trace_128_8_16_write-allocate_write-back_fifo,0,10,0,0,9,1,820,128,8,16,write-allocate,write-back,fifo
write02.trace_128_8_16_write-allocate_write-through_lru,0,10,0,0,9,1,4411,128,8,16,write-allocate,write-through,lru
write02.trace_128_8_16_write-allocate_write-through_fifo,0,10,0,0,9,1,4411,128,8,16,write-allocate,write-through,fifo
write02.trace_128_8_16_no-write-allocate_write-back_lru,0,10,0,0,0,10,4010,128,8,16,no-write-allocate,write-back,lru
write02.trace_128_8_16_no-write-allocate_write-back_fifo,0,10,0,0,0,10,4010,128,8,16,no-write-allocate,write-back,fifo
write02.trace_128_8_16_no-write-allocate_write-through_lru,0,10,0,0,0,10,4010,128,8,16,no-write-allocate,write-through,lru
write02.trace_128_8_16_no-write-allocate_write-through_fifo,0,10,0,0,0,10,4010,128,8,16,no-write-allocate,write-through,fifo
